Borough,Cohort Year,Cohort Category,Total Cohort #,Total Grads #,Total Grads   % of cohort,Total Regents #,Total Regents    % of cohort,Total Regents   % of grads,Advanced Regents #,Advanced   Regents   % of cohort,Advanced Regents    % of grads,Regents w/o Advanced  #,Regents w/o Advanced                          % of cohort,Regents w/o Advanced        % of grads,Local  #,Local   % of cohort,Local   % of grads,Still Enrolled #,Still Enrolled    % of cohort,Dropped Out  #,Dropped Out    % of cohort
Bronx,2001,4 Year  June,11453,4913,0.429,2644,0.231,0.538,998,0.087,0.203,1646,0.144,0.335,2271,0.198,0.462,3512,0.307,2438,0.213
Bronx,2001,5 Year  June,11453,6058,0.529,2859,0.25,0.472,1022,0.089,0.169,1837,0.16,0.303,3209,0.28,0.53,1412,0.123,3178,0.277
Bronx,2001,6 Year,11453,6360,0.555,2895,0.253,0.455,1022,0.089,0.161,1873,0.164,0.294,3501,0.306,0.55,610,0.053,3614,0.316
Bronx,2002,4 Year  June,12032,5328,0.443,3118,0.259,0.585,992,0.082,0.186,2126,0.177,0.399,2217,0.184,0.416,4047,0.336,2140,0.178
Bronx,2002,5 Year  June,12032,6582,0.547,3401,0.283,0.517,1013,0.084,0.154,2388,0.198,0.363,3232,0.269,0.491,1724,0.143,3008,0.25
Bronx,2002,6 Year,12032,6964,0.579,3459,0.287,0.497,1014,0.084,0.146,2445,0.203,0.351,3556,0.296,0.511,1024,0.085,3255,0.271
Bronx,2003,4 Year  June,13632,6389,0.469,3861,0.283,0.604,1255,0.092,0.196,2606,0.191,0.408,2528,0.185,0.396,4258,0.312,2472,0.181
Bronx,2003,5 Year  June,13632,7728,0.567,4179,0.307,0.541,1271,0.093,0.164,2908,0.213,0.376,3549,0.26,0.459,1879,0.138,3211,0.236
Bronx,2003,6 Year,13681,8186,0.598,4255,0.311,0.52,1272,0.093,0.155,2983,0.218,0.364,3931,0.287,0.48,1032,0.075,3481,0.254
Bronx,2004,4 Year  June,14364,7448,0.519,4625,0.322,0.621,1395,0.097,0.187,3230,0.225,0.434,2823,0.197,0.379,4169,0.29,2303,0.16
Bronx,2004,5 Year  June,14465,8856,0.612,4981,0.344,0.562,1421,0.098,0.16,3560,0.246,0.402,3875,0.268,0.438,1587,0.11,2991,0.207
Bronx,2004,6 Year,14452,9307,0.644,5065,0.35,0.544,1424,0.099,0.153,3641,0.252,0.391,4242,0.294,0.456,1094,0.076,3233,0.224
Bronx,2005,4 Year  June,15175,8229,0.542,5618,0.37,0.683,1544,0.102,0.188,4074,0.268,0.495,2611,0.172,0.317,3943,0.26,2147,0.141
Bronx,2005,4 Year August,15175,8805,0.58,5810,0.383,0.66,1549,0.102,0.176,4261,0.281,0.484,2995,0.197,0.34,3368,0.222,2147,0.141
Bronx,2005,5 Year  June,15447,9680,0.627,6090,0.394,0.629,1561,0.101,0.161,4529,0.293,0.468,3590,0.232,0.371,1569,0.102,3100,0.201
Bronx,2005,6 Year,15470,10139,0.655,6183,0.4,0.61,1563,0.101,0.154,4620,0.299,0.456,3956,0.256,0.39,966,0.062,3264,0.211
Bronx,2006,4 Year  June,15579,8524,0.547,6312,0.405,0.74,1558,0.1,0.183,4754,0.305,0.558,2212,0.142,0.26,3824,0.245,2402,0.154
Bronx,2006,4 Year August,15579,9215,0.592,6605,0.424,0.717,1572,0.101,0.171,5033,0.323,0.546,2610,0.168,0.283,3160,0.203,2375,0.152
Bronx,2006,5 Year  June,15989,9922,0.621,6822,0.427,0.688,1577,0.099,0.159,5245,0.328,0.529,3100,0.194,0.312,1530,0.096,3412,0.213
Bronx,2006,5 Year August,15989,10112,0.632,6874,0.43,0.68,1577,0.099,0.156,5297,0.331,0.524,3238,0.203,0.32,1402,0.088,3346,0.209
Bronx,2006,6 Year,15510,10372,0.669,6929,0.447,0.668,1576,0.102,0.152,5353,0.345,0.516,3443,0.222,0.332,632,0.041,3477,0.224
Bronx,2007,4 Year  June,15987,8421,0.527,6933,0.434,0.823,1579,0.099,0.188,5354,0.335,0.636,1488,0.093,0.177,4372,0.273,2527,0.158
Bronx,2007,4 Year August,15987,9194,0.575,7297,0.456,0.794,1587,0.099,0.173,5710,0.357,0.621,1897,0.119,0.206,3624,0.227,2501,0.156
Bronx,2007,5 Year  June,15798,9897,0.626,7610,0.482,0.769,1592,0.101,0.161,6018,0.381,0.608,2287,0.145,0.231,1202,0.076,3806,0.241
